PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38360946","A neuron-glia lipid metabolic cycle couples daily sleep to mitochondrial homeostasis","Haynes PR, Pyfrom ES, Li Y, Stein C, Cuddapah VA, Jacobs JA, Yue Z, Sehgal A.","Nat Neurosci. 2024 Apr;27(4):666-678. doi: 10.1038/s41593-023-01568-1. Epub 2024 Feb 15.","Haynes PR","Nat Neurosci","2024","2024/02/15","PMC11001586","","10.1038/s41593-023-01568-1"
"30799021","Chemoconnectomics: Mapping Chemical Transmission in Drosophila","Deng B, Li Q, Liu X, Cao Y, Li B, Qian Y, Xu R, Mao R, Zhou E, Zhang W, Huang J, Rao Y.","Neuron. 2019 Mar 6;101(5):876-893.e4. doi: 10.1016/j.neuron.2019.01.045. Epub 2019 Feb 21.","Deng B","Neuron","2019","2019/02/26","","","10.1016/j.neuron.2019.01.045"
"30721681","Connectomics: Arrested Development","Triphan T, Thum AS.","Curr Biol. 2019 Feb 4;29(3):R90-R92. doi: 10.1016/j.cub.2018.11.069.","Triphan T","Curr Biol","2019","2019/02/06","","","10.1016/j.cub.2018.11.069"
"30819546","The Mechanosensitive Ion Channel Piezo Inhibits Axon Regeneration","Song Y, Li D, Farrelly O, Miles L, Li F, Kim SE, Lo TY, Wang F, Li T, Thompson-Peer KL, Gong J, Murthy SE, Coste B, Yakubovich N, Patapoutian A, Xiang Y, Rompolas P, Jan LY, Jan YN.","Neuron. 2019 Apr 17;102(2):373-389.e6. doi: 10.1016/j.neuron.2019.01.050. Epub 2019 Feb 25.","Song Y","Neuron","2019","2019/03/02","PMC6487666","NIHMS1015665","10.1016/j.neuron.2019.01.050"
"34696825","Mapping the fly's 'brain in the brain'","Heinze S.","Elife. 2021 Oct 26;10:e73963. doi: 10.7554/eLife.73963.","Heinze S","Elife","2021","2021/10/26","PMC8547947","","10.7554/eLife.73963"
"30127430","DeepLabCut: markerless pose estimation of user-defined body parts with deep learning","Mathis A, Mamidanna P, Cury KM, Abe T, Murthy VN, Mathis MW, Bethge M.","Nat Neurosci. 2018 Sep;21(9):1281-1289. doi: 10.1038/s41593-018-0209-y. Epub 2018 Aug 20.","Mathis A","Nat Neurosci","2018","2018/08/22","","","10.1038/s41593-018-0209-y"
"29107518","Transsynaptic Mapping of Second-Order Taste Neurons in Flies by trans-Tango","Talay M, Richman EB, Snell NJ, Hartmann GG, Fisher JD, Sorkaç A, Santoyo JF, Chou-Freed C, Nair N, Johnson M, Szymanski JR, Barnea G.","Neuron. 2017 Nov 15;96(4):783-795.e4. doi: 10.1016/j.neuron.2017.10.011. Epub 2017 Oct 26.","Talay M","Neuron","2017","2017/11/07","PMC5693608","NIHMS912913","10.1016/j.neuron.2017.10.011"
"37552951","Gap junctions: The missing piece of the connectome","Gutierrez GJ, Wang S.","Curr Biol. 2023 Aug 7;33(15):R819-R822. doi: 10.1016/j.cub.2023.06.058.","Gutierrez GJ","Curr Biol","2023","2023/08/08","","","10.1016/j.cub.2023.06.058"
"38096817","Astrocyte growth is driven by the Tre1/S1pr1 phospholipid-binding G protein-coupled receptor","Chen J, Stork T, Kang Y, Nardone KAM, Auer F, Farrell RJ, Jay TR, Heo D, Sheehan A, Paton C, Nagel KI, Schoppik D, Monk KR, Freeman MR.","Neuron. 2024 Jan 3;112(1):93-112.e10. doi: 10.1016/j.neuron.2023.11.008. Epub 2023 Dec 13.","Chen J","Neuron","2024","2023/12/14","PMC11073822","NIHMS1985858","10.1016/j.neuron.2023.11.008"
"37308660","A rapid and bidirectional reporter of neural activity reveals neural correlates of social behaviors in Drosophila","Bonheur M, Swartz KJ, Metcalf MG, Wen X, Zhukovskaya A, Mehta A, Connors KE, Barasch JG, Jamieson AR, Martin KC, Axel R, Hattori D.","Nat Neurosci. 2023 Jul;26(7):1295-1307. doi: 10.1038/s41593-023-01357-w. Epub 2023 Jun 12.","Bonheur M","Nat Neurosci","2023","2023/06/12","PMC10866131","NIHMS1962773","10.1038/s41593-023-01357-w"
"38262414","Mapping of multiple neurotransmitter receptor subtypes and distinct protein complexes to the connectome","Sanfilippo P, Kim AJ, Bhukel A, Yoo J, Mirshahidi PS, Pandey V, Bevir H, Yuen A, Mirshahidi PS, Guo P, Li HS, Wohlschlegel JA, Aso Y, Zipursky SL.","Neuron. 2024 Mar 20;112(6):942-958.e13. doi: 10.1016/j.neuron.2023.12.014. Epub 2024 Jan 22.","Sanfilippo P","Neuron","2024","2024/01/23","PMC10957333","NIHMS1956138","10.1016/j.neuron.2023.12.014"
"35867663","Sweet sensors support stressed cell survival","Himmel NJ, Benton R.","PLoS Biol. 2022 Jul 22;20(7):e3001705. doi: 10.1371/journal.pbio.3001705. eCollection 2022 Jul.","Himmel NJ","PLoS Biol","2022","2022/07/22","PMC9307178","","10.1371/journal.pbio.3001705"
"38729112","Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster","Eckstein N, Bates AS, Champion A, Du M, Yin Y, Schlegel P, Lu AK, Rymer T, Finley-May S, Paterson T, Parekh R, Dorkenwald S, Matsliah A, Yu SC, McKellar C, Sterling A, Eichler K, Costa M, Seung S, Murthy M, Hartenstein V, Jefferis GSXE, Funke J.","Cell. 2024 May 9;187(10):2574-2594.e23. doi: 10.1016/j.cell.2024.03.016.","Eckstein N","Cell","2024","2024/05/10","PMC11106717","","10.1016/j.cell.2024.03.016"
"35134357","Connectomics: Relating synaptic connectivity to physiology","Ganguly I, Litwin-Kumar A.","Curr Biol. 2022 Feb 7;32(3):R118-R120. doi: 10.1016/j.cub.2021.12.037.","Ganguly I","Curr Biol","2022","2022/02/08","","","10.1016/j.cub.2021.12.037"
"28858625","To Fight or Not to Fight","Pereira TD, Murthy M.","Neuron. 2017 Aug 30;95(5):986-988. doi: 10.1016/j.neuron.2017.08.029.","Pereira TD","Neuron","2017","2017/09/01","","","10.1016/j.neuron.2017.08.029"
"38979985","Mapping the fly nerve cord","Seggewisse A, Winding M.","Elife. 2024 Jul 9;13:e99804. doi: 10.7554/eLife.99804.","Seggewisse A","Elife","2024","2024/07/09","PMC11233131","","10.7554/eLife.99804"
"28772119","The Biology of Forgetting-A Perspective","Davis RL, Zhong Y.","Neuron. 2017 Aug 2;95(3):490-503. doi: 10.1016/j.neuron.2017.05.039.","Davis RL","Neuron","2017","2017/08/04","PMC5657245","NIHMS881449","10.1016/j.neuron.2017.05.039"
"35944481","Systems neuroscience: Auditory processing at synaptic resolution","Bates AS, Jefferis G.","Curr Biol. 2022 Aug 8;32(15):R830-R833. doi: 10.1016/j.cub.2022.07.001.","Bates AS","Curr Biol","2022","2022/08/09","","","10.1016/j.cub.2022.07.001"
"38424324","PolyGR and polyPR knock-in mice reveal a conserved neuroprotective extracellular matrix signature in C9orf72 ALS/FTD neurons","Milioto C, Carcolé M, Giblin A, Coneys R, Attrebi O, Ahmed M, Harris SS, Lee BI, Yang M, Ellingford RA, Nirujogi RS, Biggs D, Salomonsson S, Zanovello M, de Oliveira P, Katona E, Glaria I, Mikheenko A, Geary B, Udine E, Vaizoglu D, Anoar S, Jotangiya K, Crowley G, Smeeth DM, Adams ML, Niccoli T, Rademakers R, van Blitterswijk M, Devoy A, Hong S, Partridge L, Coyne AN, Fratta P, Alessi DR, Davies B, Busche MA, Greensmith L, Fisher EMC, Isaacs AM.","Nat Neurosci. 2024 Apr;27(4):643-655. doi: 10.1038/s41593-024-01589-4. Epub 2024 Feb 29.","Milioto C","Nat Neurosci","2024","2024/02/29","PMC11001582","","10.1038/s41593-024-01589-4"
"33030427","Mapping the mind of a fly","Pipkin J.","Elife. 2020 Oct 8;9:e62451. doi: 10.7554/eLife.62451.","Pipkin J","Elife","2020","2020/10/08","PMC7544502","","10.7554/eLife.62451"
"32810456","Connectomics: Bringing Fly Neural Circuits into Focus","Lizbinski KM, Jeanne JM.","Curr Biol. 2020 Aug 17;30(16):R944-R947. doi: 10.1016/j.cub.2020.06.068.","Lizbinski KM","Curr Biol","2020","2020/08/19","","","10.1016/j.cub.2020.06.068"
"38478582","Neuronal ageing is promoted by the decay of the microtubule cytoskeleton","Okenve-Ramos P, Gosling R, Chojnowska-Monga M, Gupta K, Shields S, Alhadyian H, Collie C, Gregory E, Sanchez-Soriano N.","PLoS Biol. 2024 Mar 13;22(3):e3002504. doi: 10.1371/journal.pbio.3002504. eCollection 2024 Mar.","Okenve-Ramos P","PLoS Biol","2024","2024/03/13","PMC10962844","","10.1371/journal.pbio.3002504"
"34782793","Multi-omic analysis of selectively vulnerable motor neuron subtypes implicates altered lipid metabolism in ALS","Lee H, Lee JJ, Park NY, Dubey SK, Kim T, Ruan K, Lim SB, Park SH, Ha S, Kovlyagina I, Kim KT, Kim S, Oh Y, Kim H, Kang SU, Song MR, Lloyd TE, Maragakis NJ, Hong YB, Eoh H, Lee G.","Nat Neurosci. 2021 Dec;24(12):1673-1685. doi: 10.1038/s41593-021-00944-z. Epub 2021 Nov 15.","Lee H","Nat Neurosci","2021","2021/11/16","PMC8639773","NIHMS1741142","10.1038/s41593-021-00944-z"
"26080004","In search of lost scent","Calabrese RL.","Elife. 2015 Jun 16;4:e08715. doi: 10.7554/eLife.08715.","Calabrese RL","Elife","2015","2015/06/17","PMC4468918","","10.7554/eLife.08715"
"29784759","Of what use is connectomics? A personal perspective on the Drosophila connectome","Meinertzhagen IA.","J Exp Biol. 2018 May 20;221(Pt 10):jeb164954. doi: 10.1242/jeb.164954.","Meinertzhagen IA","J Exp Biol","2018","2018/05/23","","","10.1242/jeb.164954"
"31806491","A Genetic Model of the Connectome","Barabási DL, Barabási AL.","Neuron. 2020 Feb 5;105(3):435-445.e5. doi: 10.1016/j.neuron.2019.10.031. Epub 2019 Dec 2.","Barabási DL","Neuron","2020","2019/12/07","PMC7007360","NIHMS1543676","10.1016/j.neuron.2019.10.031"
"38402616","Organization of an ascending circuit that conveys flight motor state in Drosophila","Cheong HSJ, Boone KN, Bennett MM, Salman F, Ralston JD, Hatch K, Allen RF, Phelps AM, Cook AP, Phelps JS, Erginkaya M, Lee WA, Card GM, Daly KC, Dacks AM.","Curr Biol. 2024 Mar 11;34(5):1059-1075.e5. doi: 10.1016/j.cub.2024.01.071. Epub 2024 Feb 22.","Cheong HSJ","Curr Biol","2024","2024/02/25","PMC10939832","NIHMS1965397","10.1016/j.cub.2024.01.071"
"25459405","TRPV1 channels: not so inactive on the ER","Imler E, Zinsmaier KE.","Neuron. 2014 Nov 19;84(4):659-61. doi: 10.1016/j.neuron.2014.10.052. Epub 2014 Nov 19.","Imler E","Neuron","2014","2014/12/03","","","10.1016/j.neuron.2014.10.052"
"26674328","Odors Help Fruit Flies Escape Parasitoid Wasps","Meadows R.","PLoS Biol. 2015 Dec 16;13(12):e1002317. doi: 10.1371/journal.pbio.1002317. eCollection 2015 Dec.","Meadows R","PLoS Biol","2015","2015/12/18","PMC4682656","","10.1371/journal.pbio.1002317"
"37774707","A complete reconstruction of the early visual system of an adult insect","Chua NJ, Makarova AA, Gunn P, Villani S, Cohen B, Thasin M, Wu J, Shefter D, Pang S, Xu CS, Hess HF, Polilov AA, Chklovskii DB.","Curr Biol. 2023 Nov 6;33(21):4611-4623.e4. doi: 10.1016/j.cub.2023.09.021. Epub 2023 Sep 28.","Chua NJ","Curr Biol","2023","2023/09/29","","","10.1016/j.cub.2023.09.021"
"38242122","Mapping the neural dynamics of locomotion across the Drosophila brain","Brezovec BE, Berger AB, Hao YA, Chen F, Druckmann S, Clandinin TR.","Curr Biol. 2024 Feb 26;34(4):710-726.e4. doi: 10.1016/j.cub.2023.12.063. Epub 2024 Jan 18.","Brezovec BE","Curr Biol","2024","2024/01/19","","","10.1016/j.cub.2023.12.063"
"37425808","Whole-brain annotation and multi-connectome cell typing quantifies circuit stereotypy in Drosophila","Schlegel P, Yin Y, Bates AS, Dorkenwald S, Eichler K, Brooks P, Han DS, Gkantia M, Dos Santos M, Munnelly EJ, Badalamente G, Capdevila LS, Sane VA, Pleijzier MW, Tamimi IFM, Dunne CR, Salgarella I, Javier A, Fang S, Perlman E, Kazimiers T, Jagannathan SR, Matsliah A, Sterling AR, Yu SC, McKellar CE; FlyWire Consortium; Costa M, Seung HS, Murthy M, Hartenstein V, Bock DD, Jefferis GSXE.","bioRxiv [Preprint]. 2023 Jul 15:2023.06.27.546055. doi: 10.1101/2023.06.27.546055.","Schlegel P","bioRxiv","2023","2023/07/10","PMC10327018","","10.1101/2023.06.27.546055"
"39257829","Synaptic connectome of a neurosecretory network in the Drosophila brain","McKim TH, Gera J, Gayban AJ, Reinhard N, Manoli G, Hilpert S, Helfrich-Förster C, Zandawala M.","bioRxiv [Preprint]. 2024 Aug 29:2024.08.28.609616. doi: 10.1101/2024.08.28.609616.","McKim TH","bioRxiv","2024","2024/09/11","PMC11384003","","10.1101/2024.08.28.609616"
"25654249","Common temporal identity factors regulate neuronal diversity in fly ventral nerve cord and mouse retina","Konstantinides N, Rossi AM, Desplan C.","Neuron. 2015 Feb 4;85(3):447-9. doi: 10.1016/j.neuron.2015.01.016.","Konstantinides N","Neuron","2015","2015/02/06","PMC4489680","NIHMS703764","10.1016/j.neuron.2015.01.016"
"34085637","Unveiling the sensory and interneuronal pathways of the neuroendocrine connectome in Drosophila","Hückesfeld S, Schlegel P, Miroschnikow A, Schoofs A, Zinke I, Haubrich AN, Schneider-Mizell CM, Truman JW, Fetter RD, Cardona A, Pankratz MJ.","Elife. 2021 Jun 4;10:e65745. doi: 10.7554/eLife.65745.","Hückesfeld S","Elife","2021","2021/06/04","PMC8177888","","10.7554/eLife.65745"
"27311078","Willing and Able: The Coordination between Sexual Displays and Fertility","Aranha MM, Vasconcelos ML.","Neuron. 2016 Jun 15;90(6):1146-1147. doi: 10.1016/j.neuron.2016.06.009.","Aranha MM","Neuron","2016","2016/06/17","","","10.1016/j.neuron.2016.06.009"
"37862379","A Drosophila glial cell atlas reveals a mismatch between transcriptional and morphological diversity","Lago-Baldaia I, Cooper M, Seroka A, Trivedi C, Powell GT, Wilson SW, Ackerman SD, Fernandes VM.","PLoS Biol. 2023 Oct 20;21(10):e3002328. doi: 10.1371/journal.pbio.3002328. eCollection 2023 Oct.","Lago-Baldaia I","PLoS Biol","2023","2023/10/20","PMC10619882","","10.1371/journal.pbio.3002328"
"26637793","I Want It All and I Want It Now: How a Neural Circuit Encodes Odor with Speed and Accuracy","Franks KM.","Neuron. 2015 Dec 2;88(5):852-854. doi: 10.1016/j.neuron.2015.11.016.","Franks KM","Neuron","2015","2015/12/06","","","10.1016/j.neuron.2015.11.016"
"37285846","Comparative connectomics and escape behavior in larvae of closely related Drosophila species","Zhu J, Boivin JC, Pang S, Xu CS, Lu Z, Saalfeld S, Hess HF, Ohyama T.","Curr Biol. 2023 Jun 19;33(12):2491-2503.e4. doi: 10.1016/j.cub.2023.05.043. Epub 2023 Jun 6.","Zhu J","Curr Biol","2023","2023/06/07","","","10.1016/j.cub.2023.05.043"
"17678846","Glia got rhythm","Emery P, Freeman MR.","Neuron. 2007 Aug 2;55(3):337-9. doi: 10.1016/j.neuron.2007.07.014.","Emery P","Neuron","2007","2007/08/07","","","10.1016/j.neuron.2007.07.014"
"38795709","Compensatory enhancement of input maintains aversive dopaminergic reinforcement in hungry Drosophila","Meschi E, Duquenoy L, Otto N, Dempsey G, Waddell S.","Neuron. 2024 Jul 17;112(14):2315-2332.e8. doi: 10.1016/j.neuron.2024.04.035. Epub 2024 May 24.","Meschi E","Neuron","2024","2024/05/25","","","10.1016/j.neuron.2024.04.035"
"33905699","Drosophila neuroscience: Unravelling the circuits of sensory-motor control in the fly","Büschges A.","Curr Biol. 2021 Apr 26;31(8):R394-R396. doi: 10.1016/j.cub.2021.03.005.","Büschges A","Curr Biol","2021","2021/04/27","","","10.1016/j.cub.2021.03.005"
"33555999","Single-cell transcriptomes of developing and adult olfactory receptor neurons in Drosophila","McLaughlin CN, Brbić M, Xie Q, Li T, Horns F, Kolluru SS, Kebschull JM, Vacek D, Xie A, Li J, Jones RC, Leskovec J, Quake SR, Luo L, Li H.","Elife. 2021 Feb 8;10:e63856. doi: 10.7554/eLife.63856.","McLaughlin CN","Elife","2021","2021/02/08","PMC7870146","","10.7554/eLife.63856"
"31805260","Signal Amplification in Drosophila Olfactory Receptor Neurons","Kim BS, Suh GSB.","Neuron. 2019 Dec 4;104(5):829-831. doi: 10.1016/j.neuron.2019.11.021.","Kim BS","Neuron","2019","2019/12/06","","","10.1016/j.neuron.2019.11.021"
"39888881","The texture-taste connection: Multimodal sensory neurons in fly larvae","Vogt K.","PLoS Biol. 2025 Jan 31;23(1):e3003000. doi: 10.1371/journal.pbio.3003000. eCollection 2025 Jan.","Vogt K","PLoS Biol","2025","2025/01/31","PMC11785338","","10.1371/journal.pbio.3003000"
"38045358","Mechanosensory and command contributions to the Drosophila grooming sequence","Yoshikawa S, Tang P, Simpson JH.","bioRxiv [Preprint]. 2023 Nov 20:2023.11.19.567707. doi: 10.1101/2023.11.19.567707.","Yoshikawa S","bioRxiv","2023","2023/12/04","PMC10690200","","10.1101/2023.11.19.567707"
